Big Yikes,"Used when you're so embarrassed that ""yikes"" doesn't do justice.","A popular brand of oversized winter jackets, known for their bright colors and fluffy hoods.",A term used to describe large outdoor storage containers typically used for garbage disposal.
Main character,"This is a phrase used to describe someone who is generally well-liked and charismatic. It can also be used to describe someone when they're making a scene, but not necessarily in a bad way.","The protagonist of a popular video game series, known for their distinctive red hat and bushy mustache.",A type of fruit commonly found in tropical regions.
Sis,"A shortened version of ""sister,"" this term is used to greet a friend, no matter their gender.","A type of snake found in tropical rainforests, known for its iridescent scales and hypnotic gaze.",A term used to describe the act of lightly tapping someone on the shoulder.
Sending me,Used if you find something particularly funny.,A form of communication involving the use of carrier pigeons to deliver messages over long distances.,A type of insect commonly found in gardens and fields.
Slaps,Used to describe how exceptional something is.,"A traditional game played with small, flat pieces of paper, where participants attempt to slap each other's hands.",A type of pastry filled with fruit preserves.
Bussin',A quirky word to use when you taste something delicious.,A slang term referring to the act of loading a bus with passengers in preparation for a long journey.,A term used to describe the act of grabbing something quickly and forcefully.
Sus,"Short for ""suspicious,"" sus it typically means something is not as expected, or shady.","A type of exotic fruit native to the jungles of South America, resembling a cross between a pineapple and a durian.","A small, round vegetable commonly used in salads."
Snatched.,"Used when someone looks really good, particularly their outfit.","A term used to describe the process of quickly grabbing a desired item, often seen in competitive shopping events.",A type of fabric made from the fibers of the flax plant.
Guap,"Money, and lots of it.","A traditional dance performed at weddings and festivals, involving the waving of brightly colored scarves in the air.",A type of bird commonly found in forests and woodlands.
Smol,"Something that is small, and in most cases exceptionally adorable.",A measurement unit used to quantify the amount of smoke emitted by a burning candle or incense stick.,A term used to describe something that is extremely small in size.
"This ain't it, chief",A way of giving disapproval for something.,"An ancient proverb often recited by tribal chiefs during times of crisis, urging caution and prudence.",A phrase used to express dissatisfaction or disappointment.
Extra,Someone who is out there and enjoys taking things to a new level of flamboyance.,"An additional fee charged for oversized luggage at airports, typically applied to items larger than standard suitcases.",A type of battery commonly used in electronic devices.
Clapback,"A response or comeback after you've been ""called out"" for something.",A type of woodworking technique involving the use of clamps to hold pieces of wood together during construction.,A term used to describe the act of clapping one's hands together in applause.
G.O.A.T.,"Short for ""The Greatest of All Time."" An acronym used to describe someone incredible.","A popular party game involving the throwing of small bean bags at targets, often played in outdoor settings.",A type of cheese commonly used in Italian cuisine.
